distance,velocity,drop,adjustment,energy
0,825,-6.5,0,1212.8533482656248
10.000000000000007,811.2474623560017,-4.880961686077556,-4.971667288484043,1172.754470088777
20.00000000000015,797.6349610672371,-3.4109509987703484,-1.7371814019489578,1133.7276977096226
30.00000000000029,784.1579523026907,-2.0950982224803303,-0.7113497292894696,1095.7399512540835
40.04999999999986,770.746646416068,-0.9333762572013395,-0.2373855769110228,1058.5799935970692
50.049999999999294,757.5327538236812,0.05706080765819108,0.011612719612557852,1022.5939645623628
60.049999999998725,744.4484094025263,0.8765858003488318,0.1486899187021217,987.5739076068552
70.04999999999816,731.4918153235094,1.51913783625978,0.2208966561112331,953.4970125963048
80.0499999999976,718.6611145417778,1.978391846532596,0.25173933227702167,920.340825939913
90.04999999999703,705.9556890003446,2.2477441052130795,0.25425133895791396,888.086522126828
100.04999999999646,693.3751545184438,2.320297357313757,0.23622543213924796,856.7161338840743
110.04999999999589,680.917095166123,2.188844996243626,0.20259329263564252,826.2069994007247
120.04999999999532,668.5809242519348,1.845853420927194,0.15661564754386337,796.5414071129471
130.04999999999532,656.3678992412124,1.283443980238613,0.10052328371277881,767.7062219388982
140.0499999999976,644.2804682488185,0.49337502775831144,0.035883447236513356,739.6909848464256
150.04999999999987,632.3209443740235,-0.5329761848368338,-0.03618027897828381,712.484677171253
160.00000000000213,620.550437510115,-1.7976485670321614,-0.11444186216759847,686.2060878120055
170.0000000000044,608.8524453231971,-3.322754798989754,-0.19909001279803337,660.5786051422245
180.00000000000668,597.2869031756647,-5.112442440650602,-0.2893050550550991,635.7207372340733
190.00000000000895,585.8575547377352,-7.177057537249832,-0.38476265583847313,611.6239223664155
200.00000000001123,574.5679254883742,-9.527432205736428,-0.48522810315978043,588.2787367862022
